0FL001,Dhaka,New York,2024-12-16,10:00,300,120000.0
FL002,Dhaka,London,2024-12-16,14:00,250,90000.0
FL003,Dhaka,Paris,2024-12-16,16:30,200,85000.0
FL004,Dhaka,Tokyo,2024-12-16,18:45,180,130000.0
FL005,Dhaka,Sydney,2024-12-16,22:15,150,140000.0
FL006,Dhaka,New York,2024-12-17,10:00,300,120000.0
FL007,Dhaka,London,2024-12-17,14:00,250,90000.0
FL008,Dhaka,Paris,2024-12-17,16:30,200,85000.0
FL009,Dhaka,Tokyo,2024-12-17,18:45,180,130000.0
FL010,Dhaka,Sydney,2024-12-17,22:15,150,140000.0
FL011,Dhaka,New York,2024-12-18,10:00,300,120000.0
FL012,Dhaka,London,2024-12-18,14:00,250,90000.0
FL013,Dhaka,Paris,2024-12-18,16:30,200,85000.0
FL014,Dhaka,Tokyo,2024-12-18,18:45,180,130000.0
FL015,Dhaka,Sydney,2024-12-18,22:15,150,140000.0
FL016,Dhaka,New York,2024-12-19,10:00,300,120000.0
FL017,Dhaka,London,2024-12-19,14:00,250,90000.0
FL018,Dhaka,Paris,2024-12-19,16:30,200,85000.0
FL019,Dhaka,Tokyo,2024-12-19,18:45,180,130000.0
FL020,Dhaka,Sydney,2024-12-19,22:15,150,140000.0
FL021,Dhaka,New York,2024-12-20,10:00,300,120000.0
FL022,Dhaka,London,2024-12-20,14:00,250,90000.0
FL023,Dhaka,Paris,2024-12-20,16:30,200,85000.0
FL024,Dhaka,Tokyo,2024-12-20,18:45,180,130000.0
FL025,Dhaka,Sydney,2024-12-20,22:15,150,140000.0
FL026,Dhaka,New York,2024-12-21,10:00,300,120000.0
FL027,Dhaka,London,2024-12-21,14:00,250,90000.0
FL028,Dhaka,Paris,2024-12-21,16:30,200,85000.0
FL029,Dhaka,Tokyo,2024-12-21,18:45,180,130000.0
FL030,Dhaka,Sydney,2024-12-21,22:15,150,140000.0
FL031,Dhaka,New York,2024-12-22,10:00,300,120000.0
FL032,Dhaka,London,2024-12-22,14:00,250,90000.0
FL033,Dhaka,Paris,2024-12-22,16:30,200,85000.0
FL034,Dhaka,Tokyo,2024-12-22,18:45,180,130000.0
FL035,Dhaka,Sydney,2024-12-22,22:15,150,140000.0
FL036,Dhaka,New York,2024-12-23,10:00,300,120000.0
FL037,Dhaka,London,2024-12-23,14:00,250,90000.0
FL038,Dhaka,Paris,2024-12-23,16:30,200,85000.0
